population_id,classification_type,classification_value,lake_count
candidate_universe,state,AL,30
candidate_universe,state,AR,19
candidate_universe,state,AZ,10
candidate_universe,state,CA,4
candidate_universe,state,CO,11
candidate_universe,state,CT,2
candidate_universe,state,DE,19
candidate_universe,state,FL,612
candidate_universe,state,GA,26
candidate_universe,state,IA,113
candidate_universe,state,ID,8
candidate_universe,state,IL,67
candidate_universe,state,IN,1
candidate_universe,state,KS,5
candidate_universe,state,KY,3
candidate_universe,state,LA,2
candidate_universe,state,MD,3
candidate_universe,state,MI,12
candidate_universe,state,MN,1338
candidate_universe,state,MO,99
candidate_universe,state,MS,18
candidate_universe,state,MT,2
candidate_universe,state,NC,62
candidate_universe,state,ND,45
candidate_universe,state,NE,42
candidate_universe,state,NH,22
candidate_universe,state,NJ,4
candidate_universe,state,NY,3
candidate_universe,state,OK,1
candidate_universe,state,OR,8
candidate_universe,state,SC,2
candidate_universe,state,SD,65
candidate_universe,state,TN,6
candidate_universe,state,TX,4
candidate_universe,state,UT,36
candidate_universe,state,VA,89
candidate_universe,state,VT,24
candidate_universe,state,WA,1
candidate_universe,state,WI,23
candidate_universe,state,WY,3
candidate_universe,ecoregion,Coastal Plains,707
candidate_universe,ecoregion,Northern Appalachians,55
candidate_universe,ecoregion,Northern Plains,37
candidate_universe,ecoregion,Southern Appalachians,219
candidate_universe,ecoregion,Southern Plains,24
candidate_universe,ecoregion,Temperate Plains,444
candidate_universe,ecoregion,Upper Midwest,1272
candidate_universe,ecoregion,Western Mountains,49
candidate_universe,ecoregion,Xeric,37
external_monitoring_lakes,state,AL,1
external_monitoring_lakes,state,AR,2
external_monitoring_lakes,state,CO,3
external_monitoring_lakes,state,DE,17
external_monitoring_lakes,state,FL,506
external_monitoring_lakes,state,GA,10
external_monitoring_lakes,state,IA,86
external_monitoring_lakes,state,ID,1
external_monitoring_lakes,state,IL,24
external_monitoring_lakes,state,IN,1
external_monitoring_lakes,state,KS,1
external_monitoring_lakes,state,MI,10
external_monitoring_lakes,state,MN,806
external_monitoring_lakes,state,MO,50
external_monitoring_lakes,state,MS,3
external_monitoring_lakes,state,NC,34
external_monitoring_lakes,state,ND,15
external_monitoring_lakes,state,NE,10
external_monitoring_lakes,state,NH,17
external_monitoring_lakes,state,NJ,3
external_monitoring_lakes,state,OR,2
external_monitoring_lakes,state,TX,1
external_monitoring_lakes,state,UT,17
external_monitoring_lakes,state,VA,31
external_monitoring_lakes,state,VT,19
external_monitoring_lakes,state,WI,9
external_monitoring_lakes,ecoregion,Coastal Plains,548
external_monitoring_lakes,ecoregion,Northern Appalachians,39
external_monitoring_lakes,ecoregion,Northern Plains,7
external_monitoring_lakes,ecoregion,Southern Appalachians,69
external_monitoring_lakes,ecoregion,Southern Plains,6
external_monitoring_lakes,ecoregion,Temperate Plains,205
external_monitoring_lakes,ecoregion,Upper Midwest,783
external_monitoring_lakes,ecoregion,Western Mountains,13
external_monitoring_lakes,ecoregion,Xeric,9
pre2021_predictor_history_lakes,state,AL,30
pre2021_predictor_history_lakes,state,AR,19
pre2021_predictor_history_lakes,state,AZ,10
pre2021_predictor_history_lakes,state,CA,4
pre2021_predictor_history_lakes,state,CO,11
pre2021_predictor_history_lakes,state,CT,2
pre2021_predictor_history_lakes,state,DE,19
pre2021_predictor_history_lakes,state,FL,612
pre2021_predictor_history_lakes,state,GA,26
pre2021_predictor_history_lakes,state,IA,113
pre2021_predictor_history_lakes,state,ID,8
pre2021_predictor_history_lakes,state,IL,67
pre2021_predictor_history_lakes,state,IN,1
pre2021_predictor_history_lakes,state,KS,5
pre2021_predictor_history_lakes,state,KY,3
pre2021_predictor_history_lakes,state,LA,2
pre2021_predictor_history_lakes,state,MD,3
pre2021_predictor_history_lakes,state,MI,12
pre2021_predictor_history_lakes,state,MN,1338
